,station_id,y_coord,x_coord,frequency_mhz,bandwidth_mhz,azimuth_deg,state,licensee
5438,WGBT        ,45.56355555555560,-90.06125,91.3,0.01,0.0,WI ,RADIO 74 INTERNATIONALE
5439,WVTP        ,37.84277777777780,-82.40055555555560,91.3,0.01,162.0,WV ,"FRIENDS OF WFGH, INC.                                                       "
5440,WSJE        ,38.36080555555560,-80.64713888888890,91.3,0.01,249.5,WV ,"EVANGELIST COMMUNICATIONS, INC.                                             "
5441,W217CH,37.68711111111110,-82.25319444444450,91.3,0.01,0.0,WV ,WEST VIRGINIA EDUCATIONAL BROADCASTING AUTHORITY                            
5442,KUWA        ,42.85047222222220,-110.98019444444400,91.3,0.01,-95.0,WY ,UNIVERSITY OF WYOMING                                                       
5443,KUWC        ,42.74052777777780,-106.36002777777800,91.3,0.01,544.0,WY ,UNIVERSITY OF WYOMING                                                       
5444,K217BP,43.49966666666670,-109.68875,91.3,0.01,362.0,WY ,UNIVERSITY OF WYOMING                                                       
5445,K217EY,41.28497222222220,-105.44525,91.3,0.01,0.0,WY ,"BIBLE BROADCASTING NETWORK, INC.                                            "
5446,K217DG,41.77108333333330,-107.23811111111100,91.3,0.01,0.0,WY ,CSN INTERNATIONAL                                                           
5447,KWWM        ,41.59188888888890,-109.23761111111100,91.3,0.01,-54.0,WY ,WESTERN WYOMING COMMUNITY COLLEGE                                           
5448,KSUW        ,44.623194444444400,-107.11816666666700,91.3,0.01,363.9,WY ,UNIVERSITY OF WYOMING                                                       
5449,KUWT        ,43.43772222222220,-107.99730555555600,91.3,0.01,598.0,WY ,UNIVERSITY OF WYOMING                                                       
5450,-           ,64.0461111111111,-145.71777777777800,91.5,0.01,20.0,AK ,OUR LADY OF SORROWS CATHOLIC CHURCH                                         
5451,KSUA        ,64.85844444444440,-147.83047222222200,91.5,0.01,-5.0,AK ,UNIVERSITY OF ALASKA                                                        
5452,KLOP        ,62.20066666666670,-159.76875,91.5,0.01,0.0,AK ,KUSKOKWIM PUBLIC BROADCASTING CORPORATION                                   
5453,KSUV        ,62.325583333333300,-150.03233333333300,91.5,0.01,-34.0,AK ,ALASKA ADVENTIST RADIO NETWORK                                              
5454,WSTF        ,31.439055555555600,-86.51330555555560,91.5,0.01,110.0,AL ,"FAITH BROADCASTING, INC.                                                    "
5455,WLGQ        ,34.07480555555560,-86.01969444444440,91.5,0.01,159.0,AL ,EDUCATIONAL MEDIA FOUNDATION                                                
5456,WHGR        ,32.31791666666670,-85.67105555555560,91.5,0.01,114.0,AL ,UCHEE PINES INSTITUTE                                                       
5457,WEBT        ,32.80427777777780,-85.17852777777780,91.5,0.01,26.0,AL ,LANGDALE EDUCATIONAL BROADCASTING FOUNDATION                                
5458,WUAL-FM     ,33.09455555555560,-87.41305555555560,91.5,0.01,158.0,AL ,UNIVERSITY OF ALABAMA                                                       
5459,WUAL-FM     ,33.09455555555560,-87.41305555555560,91.5,0.01,137.0,AL ,UNIVERSITY OF ALABAMA                                                       
5460,KALR        ,34.623555555555600,-93.01344444444450,91.5,0.01,148.0,AR ,EDUCATIONAL MEDIA FOUNDATION                                                
5461,K218DE,35.90730555555560,-90.694,91.5,0.01,0.0,AR ,CSN INTERNATIONAL                                                           
5462,KCMH        ,36.27144444444440,-92.42236111111110,91.5,0.01,144.0,AR ,"CHRISTIAN BROADCASTING GROUP OF MOUNTAIN HOME, INC                          "
