Unnamed: 0,station_id,latitude,longitude,frequency_mhz,bandwidth_mhz,azimuth_deg,state,licensee
21867,WFRT-FM     ,38.2214722222222,-84.9143888888889,103.7,0.01,109.0,KY ,"SOUTHERN BELLE, LLC                                                         "
1498,WFSU-FM     ,30.6704722222222,-83.9404444444445,88.9,0.01,379.0,FL ,FLORIDA STATE UNIVERSITY                                                    
25986,WGSW        ,32.0843055555556,-84.2429444444445,106.9,0.01,55.0,GA ,GREATER 2ND MT. OLIVE MISSIONARY BAPTIST CHURCH
303,WGWR        ,41.8011666666667,-74.7843055555556,88.1,0.01,246.0,NY ,UNIVERSITY OF NORTHWESTERN - ST. PAUL                                       
22945,WHLC        ,35.0611944444444,-83.1845833333333,104.5,0.01,330.0,NC ,CHARISMA RADIO CORP.                                                        
19910,WIOQ        ,40.0437222222222,-75.2418333333333,102.1,0.01,204.0,PA ,"IHM LICENSES, LLC                                                           "
25217,WIPU-LP     ,26.0701388888889,-80.2110833333333,106.3,0.01,0.0,FL ,THE ROCK CHURCH OF HOLLYWOOD INC                                            
3216,WIVH        ,17.7558333333333,-64.7988888888889,89.9,0.01,304.0,VI ,GOOD NEWS FOR LIFE                                                          
19886,WJCA        ,43.1886666666667,-78.1478055555556,102.1,0.01,129.0,NY ,"FAMILY WORSHIP CENTER CHURCH, INC.                                          "
16427,WKAA        ,30.8349166666667,-83.2990555555556,99.5,0.01,65.5,GA ,"SOUTHERN COMMUNICATIONS, LLC                                                "
7694,WKQR        ,37.5187222222222,-81.3784166666667,92.7,0.01,100.0,WV ,"FIRST MEDIA SERVICES, LLC                                                   "
26153,WLGX        ,37.3206944444445,-79.6328055555556,106.9,0.01,389.0,VA ,EDUCATIONAL MEDIA FOUNDATION                                                
27342,WMCB-LP     ,42.6050833333333,-72.6039722222222,107.9,0.01,0.0,MA ,"GREENFIELD COMMUNITY TELEVISION, INC.                                       "
27363,WMUS        ,43.2772222222222,-86.3347777777778,107.9,0.01,128.0,MI ,"IHM LICENSES, LLC                                                           "
1177,WMYZ        ,28.9046944444444,-81.9598055555556,88.7,0.01,82.0,FL ,"CENTRAL FLORIDA EDUCATIONAL FOUNDATION, INC.                                "
15189,WNYR-FM     ,42.8061666666667,-76.8460555555556,98.5,0.01,136.0,NY ,"LAKE COUNTRY BROADCASTING, INC.                                             "
24702,WOCL        ,28.9213611111111,-81.3189444444444,105.9,0.01,285.0,FL ,"AUDACY LICENSE, LLC                                                         "
19055,WOJZ-LP     ,43.17416666666671,-70.7791666666667,101.5,0.01,88.0,NH ,PISCATAQUA RADIO                                                            
5107,WOVM        ,44.1627777777778,-88.2437222222222,91.1,0.01,98.0,WI ,"MUSIC THAT MATTERS, INC.                                                    "
19571,WOZI        ,46.5475555555556,-67.8091944444444,101.9,0.01,368.0,ME ,"TOWNSQUARE MEDIA PRESQUE ISLE LICENSE, LLC                                  "
13649,WPCL        ,40.5075555555556,-78.8036111111111,97.3,0.01,186.0,PA ,"CENTRAL PENNSYLVANIA CHRISTIAN INSTITUTE, INC.                              "
13857,WPEN        ,40.0826111111111,-75.181,97.5,0.01,208.0,NJ ,"BEASLEY MEDIA GROUP LICENSES, LLC                                           "
4170,WPFF        ,44.90238888888889,-87.37075,90.5,0.01,195.0,WI ,EDUCATIONAL MEDIA FOUNDATION                                                
26282,WPGU        ,40.1094722222222,-88.2350277777778,107.1,0.01,72.0,IL ,ILLINI MEDIA COMPANY                                                        
22238,WPHI-FM     ,40.04166666666671,-75.2361111111111,103.9,0.01,282.6,PA ,"AUDACY LICENSE, LLC                                                         "
27307,WPZA        ,40.5446111111111,-90.0210833333333,107.9,0.01,82.0,IL ,EDUCATIONAL MEDIA FOUNDATION                                                
25227,WQBZ        ,32.75875,-83.7468333333333,106.3,0.01,150.0,GA ,"IHM LICENSES, LLC                                                           "
18127,WQPO        ,38.45233333333329,-78.9086388888889,100.7,0.01,150.0,VA ,"TIDEWATER COMMUNICATIONS, LLC                                               "
